proj_id,proj_lgl_name
P000001,West Africa Pilot Community-based Natural Resources & Wildlife Management Project
P000003,REIMP(CEN.ENV.INFO)
P000017,3A-TG/BN Engineering TAL (FY92)
P000034,INFRASTRUCTURE REHAB
P000035,LOBITO/BENG.REHAB.
P000040,POWER SECTOR REHAB.
P000042,EDUCATION I
P000044,Financial Institutions modernization project
P000048,HEALTH
P000050,TRANSPORT RECOVERY
P000061,SOCIAL ACTION
P000099,COMMUNITY-BASED FOOD SECURITY
P000103,EDUCATION DEVELOPMENT PROJECT
P000105,Agricultural Services Restructuring
P000106,MGT OF NAT RESOURCES
P000108,Power Rehabilitation and Extension Project
P000111,SAC III
P000112,ENV. MANAGEMENT PROJ
P000116,ECONOMIC MANAGEMENT PROJECT
P000117,TRANSPORT SECTOR INVESTMENT PROGRAM
P000118,Population and Health Project
P000120,RURAL CREDIT II
P000121,Rural Water Supply and Sanitation
P000204,Bui-Transport Sector
P000216,BI-Second Health and Population Project
P000217,WATER SUPPLY SECTOR
P000226,PRIV SEC
P000227,BI-Social Action
P000237,AGRI-BUSINESS PROMOT
P000276,TRANSPORT SECAL
P000283,MINING CAPACITY BUIL
P000287,HEALTH/NUTRITION
P000289,PRIVATE SECTOR ASSIS
P000296,Second National Agricultural Services Development Project
P000297,BF-Urb Env (FY95)
P000301,PUBLIC INSTITUTIONAL
P000303,FOOD SECURITY
P000304,Post-Primary Education
P000306,BF-Ouaga Water Suply (FY01)
P000308,POPULATION/AIDS CONTROL
P000309,Basic Education Sector Project
P000311,BIODIVERSITY CONSERV
P000393,CM-Transport Sect Prj (FY96)
P000400,FOOD SECURITY
P000411,"HEALTH, FERTILITY AND NUTRITION PROJECT"
P000426,BASIC EDUCATION
P000432,Social Sector Development
P000435,Transport and Infrastructure Project
P000437,Pub. Sector Reform and Capacity Building Credit
P000438,PRIVATE/FINANCIAL SE
P000464,ENT REHAB & DEVELOP
P000468,AG. SERVICES
P000474,NAT. LIVESTOCK DEV.
P000501,Agricultural and Livestock Services Project
P000509,HEALTH & SAFE MOTHERHOOD
P000517,BASIC EDUCATION V
P000527,Education Sector Reform Project
P000528,CHAD PETROLEUM AND POWER ENGINEERING
P000530,SECOND TRANSPORT SECTOR PROJECT
P000532,TD HOUSEHOLD ENERGY
P000533,Public Works and Capacity Building
P000535,WILDLANDS PROTECTION
P000568,PRIVATIZATION & CB
P000596,POP & HUMAN RESOURCE
P000603,Third Education Project
P000604,Comoros-Pilot Agricultural Services Project
P000606,SMALL ENTERPRISE DEV
P000649,HEALTH IMPROVEMENT P
P000712,SECOND ADDIS URBAN DEV.
P000722,MARKET TOWNS DEV
P000732,Education Sector Development Project
P000733,ET: AG. RESEARCH & TRAINING
P000734,ER ROAD REHABILITATION
P000752,SEED SYSTEM DEVELOPMENT PROJECT
P000753,National Fertilizer Sector Project
P000756,Health Sector Development Program
P000758,CALUB ENERGY DEV. PROJECT
P000764,ET-Water Supply Dev & Rehab (BD FY96)
P000771,Ethiopia Social Rehabilitation and Development Fund
P000786,Projet Foret et Environnement
P000818,AG SERVICES
P000825,Part. Health/Pop./Nut.
P000831,ENVIRNMT MGMT CAP BL
P000833,Ghana:COASTAL WETLANDS MANAGEMENT
P000910,URBAN II(SEC CITIES)
P000918,Ghan:AGRIC DIVERS (TREE C
P000924,COMMUNITY WATER & SANITATION
P000926,GH-Thermal Power SIL 5 (FY95)
P000928,Ghana:AGRIC RESEARCH
P000930,Ghana:LIVESTOCK
P000931,Ghana:AGRIC EXTENSION
P000936,LOCAL GOVT DEV.
P000943,NON-BANK FIN INS AST
P000946,Ghana:NAT.RES.MANAGEMENT
P000948,VOCATIONAL SKILLS & INFORMAL SECTOR PROJ
P000949,HEALTH SECTOR SUPPORT
P000953,NAT'L ELECTRIFICATION
P000956,URBAN TRANSPORT
P000957,gh High Sector Invest Prog
P000960,PRIV SECTOR DEV
P000961,Ghana:AGRIC SECTOR INVEST
P000962,Ghana:FISHERIES
P000966,MINING SEC.DEV & ENV
P000967,PRIV.SCTR ADJ
P000968,Agricultural Services Subsector Investment Project
P000970,TRADE GATEWAY & INVESTMENT PROJECT
P000973,GH-Urban Env Sanitation 1 (BD FY06)
P000974,National Functional Literacy Program Project
P000975,BASIC EDUCATION SECTOR IMPROVEMENT PROJECT
P001001,Private Sector Rehabilitation and Development Project
P001002,Social Sector Project
P001011,Economic Management Credit
P001015,Basic Education Support Project
P001068,National Agricultural Export Promotion Project
P001070,HEALTH/NUTRITION SECTOR PROJECT
P001074,Third Urban Development Project - First Phase
P001075,Third Water Supply and Sanitation Project
P001077,MIN SECT INV PROMOT
P001081,NATIONAL AGRICULTURAL SERVICES PROJECT
P001087,EQUITY AND SCHOOL IMPROVEMENT
P001090,HIGHER EDUCATION MANAGEMENT
P001177,CI-Transp Sec Adj
P001184,PRIVATE SECTOR ENERGY PROJECT
P001186,LABOR FORCE TRAINING
